site_name,site_code,fish_species,individual_code,fish_replicant,food_type_code,food_type_label,area_sum,total_area,prop
Engipai,M7,Labeobarbus altianalis,3,3,LD,Leaf detritus,5579.119,5579.119,1
Engipai,M7,Labeobarbus altianalis,3,3,NAB,Non-attached biofilm,2456.216,2456.216,1
Engipai,M7,Labeobarbus altianalis,3,3,VM,Vascular macrophyte,445.36,445.36,1
NMB,M9,Labeo victorianans,4,2,NAB,Non-attached biofilm,154.127,154.127,1
NMB,M9,Labeo victorianus,4,1,AD,Attached diatoms,5676.070999999998,5676.070999999998,1
NMB,M9,Labeo victorianus,4,1,DIATOM,Diatoms,271.1,271.1,1
NMB,M9,Labeo victorianus,4,1,FH,Fish hair,2098.84,2098.84,1
NMB,M9,Labeo victorianus,4,1,INSECT,Insects,666.6120000000001,666.6120000000001,1
NMB,M9,Labeo victorianus,4,1,IO,Inorganic,1017.383,1017.383,1
NMB,M9,Labeo victorianus,4,1,LD,Leaf detritus,1887.764,1887.764,1
NMB,M9,Labeo victorianus,4,1,NAB,Non-attached biofilm,10467.608,10467.608,1
NMB,M9,Labeo victorianus,4,1,VM,Vascular macrophyte,304.413,304.413,1
NMB,M9,Labeo victorianus,4,2,AD,Attached diatoms,6139.268999999999,6139.268999999999,1
NMB,M9,Labeo victorianus,4,2,DIATOM,Diatoms,109.851,109.851,1
NMB,M9,Labeo victorianus,4,2,FH,Fish hair,905.412,905.412,1
NMB,M9,Labeo victorianus,4,2,GRASS,Grass,58.836,58.836,1
NMB,M9,Labeo victorianus,4,2,INSECT,Insects,958.485,958.485,1
NMB,M9,Labeo victorianus,4,2,IO,Inorganic,396.601,396.601,1
NMB,M9,Labeo victorianus,4,2,LD,Leaf detritus,2849.2709999999993,2849.2709999999993,1
NMB,M9,Labeo victorianus,4,2,NAB,Non-attached biofilm,22914.435000000005,22914.435000000005,1
NMB,M9,Labeo victorianus,4,3,AD,Attached diatoms,6069.647,6069.647,1
NMB,M9,Labeo victorianus,4,3,DIATOM,Diatoms,396.403,396.403,1
NMB,M9,Labeo victorianus,4,3,GRASS,Grass,1310.369,1310.369,1
NMB,M9,Labeo victorianus,4,3,INSECT,Insects,784.2810000000001,784.2810000000001,1
NMB,M9,Labeo victorianus,4,3,IO,Inorganic,1042.7109999999998,1042.7109999999998,1
NMB,M9,Labeo victorianus,4,3,LD,Leaf detritus,2994.2270000000003,2994.2270000000003,1
NMB,M9,Labeo victorianus,4,3,NAB,Non-attached biofilm,14544.633999999998,14544.633999999998,1
NMB,M9,Labeo victorianus,4,3,VM,Vascular macrophyte,466.09,466.09,1
NMB,M9,Labeo victorianus,5,1,AD,Attached diatoms,14419.408999999998,14419.408999999998,1
NMB,M9,Labeo victorianus,5,1,DIATOM,Diatoms,249.329,249.329,1
NMB,M9,Labeo victorianus,5,1,FA,Fish scale,352.11199999999997,352.11199999999997,1
NMB,M9,Labeo victorianus,5,1,FH,Fish hair,4380.647999999999,4380.647999999999,1
NMB,M9,Labeo victorianus,5,1,GRASS,Grass,745.4970000000001,745.4970000000001,1
NMB,M9,Labeo victorianus,5,1,GW,Grass/wood,289.25,289.25,1
NMB,M9,Labeo victorianus,5,1,INSECT,Insects,113.69999999999999,113.69999999999999,1
NMB,M9,Labeo victorianus,5,1,IO,Inorganic,1217.532,1217.532,1
NMB,M9,Labeo victorianus,5,1,LD,Leaf detritus,5378.780000000001,5378.780000000001,1
NMB,M9,Labeo victorianus,5,1,NAB,Non-attached biofilm,9323.997000000001,9323.997000000001,1
NMB,M9,Labeo victorianus,5,1,VM,Vascular macrophyte,826.302,826.302,1
NMB,M9,Labeo victorianus,5,2,AD,Attached diatoms,11931.860999999999,11931.860999999999,1
NMB,M9,Labeo victorianus,5,2,DIATOM,Diatoms,370.169,370.169,1
NMB,M9,Labeo victorianus,5,2,FH,Fish hair,106.504,106.504,1
NMB,M9,Labeo victorianus,5,2,GRASS,Grass,2548.997,2548.997,1
NMB,M9,Labeo victorianus,5,2,IO,Inorganic,174.47899999999998,174.47899999999998,1
NMB,M9,Labeo victorianus,5,2,LD,Leaf detritus,1728.6430000000003,1728.6430000000003,1
NMB,M9,Labeo victorianus,5,2,NAB,Non-attached biofilm,21096.51200000001,21096.51200000001,1
NMB,M9,Labeo victorianus,5,2,VM,Vascular macrophyte,968.162,968.162,1
NMB,M9,Labeo victorianus,5,3,AD,Attached diatoms,11226.259000000002,11226.259000000002,1
NMB,M9,Labeo victorianus,5,3,DIATOM,Diatoms,86.936,86.936,1
NMB,M9,Labeo victorianus,5,3,FH,Fish hair,1972.025,1972.025,1
NMB,M9,Labeo victorianus,5,3,GRASS,Grass,458.279,458.279,1
NMB,M9,Labeo victorianus,5,3,INSECT,Insects,1431.1799999999998,1431.1799999999998,1
NMB,M9,Labeo victorianus,5,3,IO,Inorganic,609.968,609.968,1
NMB,M9,Labeo victorianus,5,3,LD,Leaf detritus,4417.441,4417.441,1
NMB,M9,Labeo victorianus,5,3,NAB,Non-attached biofilm,13074.353,13074.353,1
NMB,M9,Labeo victorianus,5,3,VM,Vascular macrophyte,457.46799999999996,457.46799999999996,1
NMB,M9,Labeobarbus altianalis,5,1,AD,Attached diatoms,5650.419999999999,5650.419999999999,1
NMB,M9,Labeobarbus altianalis,5,1,DIATOM,Diatoms,156.586,156.586,1
NMB,M9,Labeobarbus altianalis,5,1,FA,Fish scale,3781.481,3781.481,1
NMB,M9,Labeobarbus altianalis,5,1,GRASS,Grass,570.682,570.682,1
NMB,M9,Labeobarbus altianalis,5,1,INSECT,Insects,273.025,273.025,1
NMB,M9,Labeobarbus altianalis,5,1,IO,Inorganic,163.568,163.568,1
NMB,M9,Labeobarbus altianalis,5,1,LD,Leaf detritus,3680.779000000002,3680.779000000002,1
NMB,M9,Labeobarbus altianalis,5,1,NAB,Non-attached biofilm,6277.3640000000005,6277.3640000000005,1
NMB,M9,Labeobarbus altianalis,5,1,VM,Vascular macrophyte,365.769,365.769,1
NMB,M9,Labeobarbus altianalis,5,2,AD,Attached diatoms,4756.7699999999995,4756.7699999999995,1
NMB,M9,Labeobarbus altianalis,5,2,LD,Leaf detritus,1463.77,1463.77,1
NMB,M9,Labeobarbus altianalis,5,2,NAB,Non-attached biofilm,4635.138,4635.138,1
